date,open,high,low,close
2007/3/15,16740,16885,16695,16810
2007/3/16,16720,16875,16580,16695
2007/3/19,16650,16995,16630,16995
2007/3/20,17120,17215,17075,17155
2007/3/22,17400,17430,17330,17380
2007/3/23,17460,17490,17340,17435
2007/3/26,17465,17485,17360,17470
2007/3/27,17390,17545,17335,17430
2007/3/28,17395,17470,17160,17245
2007/3/29,17155,17380,17060,17275
2007/3/30,17315,17415,17285,17325
2007/4/2,17380,17460,17015,17025
2007/4/3,17180,17310,17120,17270
2007/4/4,17425,17610,17420,17580
2007/4/5,17520,17555,17450,17530
2007/4/6,17535,17585,17450,17525
2007/4/9,17640,17775,17635,17765
2007/4/10,17660,17740,17635,17690
2007/4/11,17695,17745,17645,17705
2007/4/12,17620,17630,17465,17520
2007/4/13,17675,17685,17340,17395
2007/4/16,17565,17725,17535,17640
2007/4/17,17795,17810,17470,17615
2007/4/18,17605,17730,17545,17660
2007/4/19,17520,17540,17235,17385
2007/4/20,17500,17525,17420,17435
2007/4/23,17610,17680,17425,17500
2007/4/24,17385,17525,17320,17440
2007/4/25,17380,17390,17245,17265
2007/4/26,17385,17520,17335,17465
2007/4/27,17365,17565,17305,17400
2007/5/1,17420,17430,17210,17270
2007/5/2,17330,17460,17235,17445
2007/5/7,17620,17730,17615,17700
2007/5/8,17635,17725,17600,17665
2007/5/9,17630,17765,17620,17760
2007/5/10,17810,17845,17725,17775
2007/5/11,17595,17615,17460,17545
2007/5/14,17725,17790,17680,17700
2007/5/15,17575,17620,17500,17540
2007/5/16,17505,17565,17440,17555
2007/5/17,17605,17670,17485,17530
2007/5/18,17580,17580,17330,17400
2007/5/21,17470,17610,17410,17570
2007/5/22,17565,17740,17555,17705
2007/5/23,17745,17815,17700,17725
2007/5/24,17695,17770,17615,17665
2007/5/25,17525,17530,17375,17455
2007/5/28,17555,17635,17545,17605
2007/5/29,17540,17700,17525,17685
2007/5/30,17650,17730,17485,17600
2007/5/31,17740,17890,17705,17875
2007/6/1,17960,18025,17935,17965
2007/6/4,18080,18080,17980,18015
2007/6/5,18010,18080,17955,18065
2007/6/6,18000,18070,17990,18045
2007/6/7,17860,18075,17850,18075
2007/6/8,17900,17900,17725,17795
2007/6/11,17940,17950,17825,17830
2007/6/12,17850,17890,17760,17805
2007/6/13,17650,17800,17610,17735
2007/6/14,17860,17900,17835,17895
2007/6/15,17970,18030,17960,18025
2007/6/18,18160,18220,18135,18200
2007/6/19,18170,18180,18125,18180
2007/6/20,18200,18325,18165,18235
2007/6/21,18120,18310,18115,18260
2007/6/22,18190,18225,18110,18215
2007/6/25,18130,18220,18080,18080
2007/6/26,18130,18135,18040,18095
2007/6/27,18005,18010,17855,17855
2007/6/28,17920,17985,17915,17975
2007/6/29,18025,18170,18000,18150
2007/7/2,18145,18190,18080,18185
2007/7/3,18220,18255,18170,18215
2007/7/4,18190,18230,18165,18195
2007/7/5,18215,18315,18215,18250
2007/7/6,18215,18220,18105,18140
2007/7/9,18240,18300,18235,18275
2007/7/10,18260,18280,18225,18265
2007/7/11,18115,18130,18055,18065
2007/7/12,18125,18150,17935,17990
2007/7/13,18195,18300,18180,18275
2007/7/17,18260,18275,18190,18215
2007/7/18,18155,18160,17970,18035
2007/7/19,18120,18150,18050,18130
2007/7/20,18175,18240,18150,18185
2007/7/23,17975,18015,17905,17970
2007/7/24,18025,18040,17920,18010
2007/7/25,17770,17895,17750,17860
2007/7/26,17835,17880,17665,17695
2007/7/27,17240,17380,17200,17280
2007/7/30,17050,17310,17040,17310
2007/7/31,17290,17310,17200,17280
2007/8/1,17105,17145,16805,16805
2007/8/2,16965,17000,16655,16980
2007/8/3,17030,17115,16910,17010
2007/8/6,16690,16960,16660,16875
2007/8/7,17055,17060,16865,16935
2007/8/8,16960,17095,16925,17095
2007/8/9,17245,17275,17150,17210
2007/8/10,16820,16850,16650,16745
2007/8/13,16830,16960,16735,16770
2007/8/14,16825,16865,16750,16845
2007/8/15,16630,16645,16395,16415
2007/8/16,16210,16240,15865,16030
2007/8/17,15995,16025,15225,15255
2007/8/20,15785,15960,15705,15750
2007/8/21,15760,16105,15745,15895
2007/8/22,15860,15960,15785,15915
2007/8/23,16235,16380,16225,16380
2007/8/24,16300,16330,16185,16265
2007/8/27,16505,16515,16265,16310
2007/8/28,16215,16355,16195,16280
2007/8/29,15845,16065,15825,16065
2007/8/30,16290,16295,16085,16185
2007/8/31,16295,16600,16270,16595
2007/9/3,16495,16590,16450,16540
2007/9/4,16460,16520,16390,16400
2007/9/5,16520,16565,16140,16180
2007/9/6,16005,16270,15835,16240
2007/9/7,16135,16240,16020,16095
2007/9/10,15700,15855,15635,15740
2007/9/11,15790,15950,15610,15840
2007/9/12,15940,16050,15725,15810
2007/9/13,15910,15945,15790,15790
2007/9/14,15875,16115,15845,16105
2007/9/18,15945,15955,15745,15835
2007/9/19,16270,16375,16230,16360
2007/9/20,16480,16480,16305,16335
2007/9/21,16250,16390,16210,16390
2007/9/25,16375,16480,16275,16355
2007/9/26,16400,16565,16400,16545
2007/9/27,16640,16920,16640,16835
2007/9/28,16960,16980,16755,16775
2007/10/1,16855,16955,16720,16885
2007/10/2,17095,17115,17020,17115
2007/10/3,17120,17250,17045,17110
2007/10/4,17110,17200,17055,17100
2007/10/5,17090,17180,17060,17165
2007/10/9,17210,17280,17170,17205
2007/10/10,17220,17285,17185,17200
2007/10/11,17225,17600,17190,17600
2007/10/12,17485,17490,17310,17365
2007/10/15,17445,17470,17330,17440
2007/10/16,17290,17320,16990,16990
2007/10/17,17140,17145,16820,17030
2007/10/18,17015,17180,17000,17040
2007/10/19,16930,16950,16730,16840
2007/10/22,16275,16485,16255,16370
2007/10/23,16490,16575,16435,16515
2007/10/24,16535,16595,16330,16345
2007/10/25,16435,16470,16205,16355
2007/10/26,16425,16530,16365,16480
2007/10/29,16660,16800,16655,16745
2007/10/30,16650,16685,16505,16670
2007/10/31,16640,16755,16570,16715
2007/11/1,16830,16910,16805,16850
2007/11/2,16520,16640,16450,16455
2007/11/5,16440,16450,16150,16165
2007/11/6,16160,16360,16155,16325
2007/11/7,16350,16360,16045,16050
2007/11/8,15785,15860,15635,15770
2007/11/9,15785,15850,15445,15485
2007/11/12,15230,15285,14975,15245
2007/11/13,15185,15245,14985,15000
2007/11/14,15410,15610,15360,15610
2007/11/15,15545,15600,15275,15295
2007/11/16,15170,15215,15035,15215
2007/11/19,15215,15315,15045,15055
2007/11/20,14805,15270,14745,15165
2007/11/21,15090,15170,14645,14680
2007/11/22,14670,15015,14660,14765
2007/11/26,14975,15310,14950,15205
2007/11/27,14830,15350,14805,15200
2007/11/28,15250,15290,15090,15160
2007/11/29,15515,15605,15465,15595
2007/11/30,15520,15810,15520,15810
2007/12/3,15765,15810,15580,15660
2007/12/4,15660,15690,15380,15395
2007/12/5,15425,15720,15355,15680
2007/12/6,15860,15925,15750,15905
2007/12/7,16005,16120,15865,15945
2007/12/10,16010,16035,15820,15920
2007/12/11,16040,16145,15970,16135
2007/12/12,15705,15975,15695,15900
2007/12/13,15820,15835,15445,15570
2007/12/14,15620,15730,15460,15515
2007/12/17,15450,15550,15185,15210
2007/12/18,15090,15335,15030,15225
2007/12/19,15210,15300,15045,15055
2007/12/20,15190,15200,15020,15085
2007/12/21,15085,15450,15030,15450
2007/12/25,15625,15675,15535,15655
2007/12/26,15650,15730,15600,15705
2007/12/27,15645,15665,15555,15590
2007/12/28,15440,15445,15235,15235
2008/1/4,14870,14890,14565,14660
2008/1/7,14500,14700,14425,14525
2008/1/8,14455,14570,14375,14540
2008/1/9,14300,14630,14265,14485
2008/1/10,14550,14610,14350,14375
2008/1/11,14480,14480,14105,14275
2008/1/15,14175,14250,13925,13925
2008/1/16,13645,13860,13375,13445
2008/1/17,13680,13830,13475,13735
2008/1/18,13395,13920,13360,13675
2008/1/21,13630,13660,12975,13075
2008/1/22,12690,12970,12125,12550
2008/1/23,13035,13125,12615,12860
2008/1/24,13040,13155,12890,12980
2008/1/25,13290,13795,13290,13695
2008/1/28,13435,13485,13040,13180
2008/1/29,13420,13530,13230,13490
2008/1/30,13470,13530,13270,13425
2008/1/31,13150,13640,13135,13450
2008/2/1,13505,13670,13435,13580
2008/2/4,13740,13905,13740,13830
2008/2/5,13795,13825,13655,13745
2008/2/6,13330,13370,13055,13125
2008/2/7,13050,13270,12980,13175
2008/2/8,13120,13290,12985,13160
2008/2/12,12990,13140,12930,12960
2008/2/13,13225,13260,13025,13165
2008/2/14,13445,13680,13420,13610
2008/2/15,13450,13680,13350,13670
2008/2/18,13620,13845,13560,13615
2008/2/19,13800,13855,13655,13655
2008/2/20,13730,13735,13280,13440
2008/2/21,13520,13795,13485,13675
2008/2/22,13495,13540,13370,13480
2008/2/25,13620,13980,13620,13890
2008/2/26,14085,14100,13800,13970
2008/2/27,14050,14130,13910,13915
2008/2/28,13860,13970,13790,13885
2008/2/29,13640,13680,13525,13535
2008/3/3,13155,13180,12880,12920
2008/3/4,13120,13125,12875,12985
2008/3/5,13000,13050,12910,13035
2008/3/6,13070,13370,13045,13105
2008/3/7,12795,12870,12650,12660
2008/3/10,12680,12780,12525,12655
2008/3/11,12355,12705,12340,12705
2008/3/12,13135,13140,12795,12955
2008/3/13,12690,12775,12260,12285
2008/3/14,12460,12525,12085,12400
2008/3/17,12000,12010,11610,11750
2008/3/18,11785,11985,11730,11950
2008/3/19,12380,12405,12060,12105
2008/3/21,12280,12420,12225,12415
2008/3/24,12380,12520,12355,12425
2008/3/25,12595,12755,12490,12720
2008/3/26,12650,12775,12605,12675
2008/3/27,12600,12725,12490,12720
2008/3/28,12615,12915,12530,12875
2008/3/31,12730,12735,12440,12495
2008/4/1,12580,12850,12545,12835
2008/4/2,13115,13220,13070,13195
2008/4/3,13190,13430,13140,13370
2008/4/4,13260,13395,13225,13330
2008/4/7,13245,13560,13235,13560
2008/4/8,13380,13420,13230,13235
2008/4/9,13350,13380,13015,13130
2008/4/10,13025,13090,12845,12875
2008/4/11,13080,13360,13070,13345
2008/4/14,12950,12995,12860,12980
2008/4/15,12985,13080,12890,12940
2008/4/16,13155,13245,13120,13135
2008/4/17,13465,13520,13370,13400
2008/4/18,13460,13545,13340,13545
2008/4/21,13780,13785,13640,13655
2008/4/22,13575,13615,13535,13610
2008/4/23,13455,13740,13455,13640
2008/4/24,13615,13675,13505,13520
2008/4/25,13660,13910,13645,13895
2008/4/28,13925,14020,13755,13950
2008/4/30,13810,13990,13785,13790
2008/5/1,13835,13895,13730,13800
2008/5/2,14065,14095,13985,14090
2008/5/7,14180,14210,14025,14155
2008/5/8,13995,14030,13875,13925
2008/5/9,13920,13960,13535,13565
2008/5/12,13555,13810,13540,13785
2008/5/13,13795,14040,13730,13960
2008/5/14,14000,14195,13880,14155
2008/5/15,14185,14370,14180,14300
2008/5/16,14370,14420,14200,14330
2008/5/19,14340,14360,14210,14240
2008/5/20,14220,14295,14120,14150
2008/5/21,13995,14050,13840,13985
2008/5/22,13740,14005,13655,13965
2008/5/23,13950,14165,13915,13955
2008/5/26,13835,13880,13670,13720
2008/5/27,13785,13940,13775,13895
2008/5/28,13960,13995,13665,13805
2008/5/29,13890,14175,13875,14175
2008/5/30,14205,14375,14195,14375
2008/6/2,14360,14475,14190,14295
2008/6/3,14210,14300,14120,14205
2008/6/4,14310,14430,14235,14245
2008/6/5,14380,14440,14255,14440
2008/6/6,14605,14610,14480,14485
2008/6/9,14100,14270,14070,14220
2008/6/10,14280,14320,13905,13970
2008/6/11,14150,14200,13995,14170
2008/6/12,13910,14005,13820,13990
2008/6/13,14020,14070,13825,13915
2008/6/16,14165,14400,14125,14370
2008/6/17,14400,14490,14310,14490
2008/6/18,14355,14495,14335,14420
2008/6/19,14305,14310,14070,14145
2008/6/20,14185,14220,13910,13970
2008/6/23,13745,13940,13670,13845
2008/6/24,13770,13910,13745,13755
2008/6/25,13795,13980,13650,13980
2008/6/26,13885,13980,13755,13780
2008/6/27,13500,13600,13435,13490
2008/6/30,13590,13625,13375,13390
2008/7/1,13510,13600,13265,13320
2008/7/2,13500,13510,13250,13410
2008/7/3,13185,13360,13130,13245
2008/7/4,13280,13310,13145,13280
2008/7/7,13220,13425,13180,13375
2008/7/8,13305,13315,12915,12990
2008/7/9,13240,13310,13045,13160
2008/7/10,12950,13160,12925,13095
2008/7/11,13055,13190,12920,13015
2008/7/14,13015,13200,12970,13020
2008/7/15,12910,12910,12650,12660
2008/7/16,12725,12840,12660,12670
2008/7/17,12915,12980,12860,12960
2008/7/18,13010,13030,12770,12925
2008/7/22,13030,13225,12960,13155
2008/7/23,13280,13440,13245,13425
2008/7/24,13435,13660,13420,13590
2008/7/25,13425,13465,13305,13325
2008/7/28,13450,13480,13300,13340
2008/7/29,13195,13200,13025,13120
2008/7/30,13305,13390,13280,13390
2008/7/31,13450,13485,13250,13370
2008/8/1,13260,13285,13040,13110
2008/8/4,13060,13130,12915,12955
2008/8/5,12990,13070,12900,13020
2008/8/6,13185,13295,13130,13240
2008/8/7,13250,13265,13030,13195
2008/8/8,13025,13270,12955,13215
2008/8/11,13300,13470,13300,13375
2008/8/12,13370,13430,13245,13280
2008/8/13,13190,13200,12940,13000
2008/8/14,12915,13095,12905,12970
2008/8/15,12980,13050,12950,13050
2008/8/18,12950,13270,12920,13105
2008/8/19,12950,12955,12780,12805
2008/8/20,12745,12930,12740,12890
2008/8/21,12895,12910,12660,12685
2008/8/22,12730,12745,12620,12720
2008/8/25,12860,12950,12840,12875
2008/8/26,12685,12805,12655,12775
2008/8/27,12745,12790,12685,12755
2008/8/28,12850,12855,12720,12795
2008/8/29,12940,13085,12940,13070
2008/9/1,12905,12955,12815,12825
2008/9/2,12805,12925,12475,12765
2008/9/3,12735,12770,12625,12655
2008/9/4,12610,12665,12515,12550
2008/9/5,12200,12275,12115,12120
2008/9/8,12480,12675,12465,12655
2008/9/9,12500,12515,12335,12460
2008/9/10,12150,12410,12125,12330
2008/9/11,12190,12255,11980,11990
2008/9/12,12210,12245,12015,12245
2008/9/16,11600,11650,11485,11640
2008/9/17,11775,11840,11565,11635
2008/9/18,11280,11550,11245,11550
2008/9/19,11755,12110,11680,12090
2008/9/22,12230,12245,12000,12115
2008/9/24,12000,12145,11860,12090
2008/9/25,11910,12090,11870,12070
2008/9/26,12040,12130,11815,11930
2008/9/29,11945,12115,11630,11630
2008/9/30,11095,11470,11090,11450
2008/10/1,11495,11520,11350,11455
2008/10/2,11495,11520,11155,11300
2008/10/3,11100,11165,10930,10970
2008/10/6,10765,10790,10315,10320
2008/10/7,10060,10395,9935,9995
2008/10/8,9735,9850,8935,9030
2008/10/9,9175,9470,9110,9290
2008/10/10,8330,8475,7705,7800
2008/10/14,9300,9720,9235,9615
2008/10/15,9300,9640,9235,9285
2008/10/16,8410,8745,8230,8730
2008/10/17,8730,8810,8330,8400
2008/10/20,8830,9120,8695,9050
2008/10/21,9305,9375,9080,9130
2008/10/22,9030,9075,8480,8480
2008/10/23,8220,8545,7990,8265
2008/10/24,8270,8295,7100,7440
2008/10/27,7440,7895,6830,6965
2008/10/28,7100,7775,6990,7640
2008/10/29,8185,8380,7745,8290
2008/10/30,8485,9135,8320,9000
2008/10/31,8790,9045,8325,8430
2008/11/4,8975,9260,8875,9260
2008/11/5,9430,9570,9240,9305
2008/11/6,9010,9085,8675,8695
2008/11/7,8345,8870,8240,8755
2008/11/10,8995,9315,8925,9310
2008/11/11,8895,9060,8650,8710
2008/11/12,8540,8875,8520,8600
2008/11/13,8200,8415,8130,8290
2008/11/14,8740,8780,8390,8590
2008/11/17,8330,8800,8205,8420
2008/11/18,8310,8450,8150,8175
2008/11/19,8275,8380,8110,8210
2008/11/20,7950,7985,7600,7670
2008/11/21,7400,8000,7365,7900
2008/11/25,8350,8410,8070,8280
2008/11/26,8205,8325,8135,8200
2008/11/27,8370,8475,8290,8395
2008/11/28,8390,8575,8335,8460
2008/12/1,8430,8450,8225,8225
2008/12/2,7905,8060,7800,7965
2008/12/3,8025,8075,7875,7910
2008/12/4,8040,8100,7840,8055
2008/12/5,7990,8030,7815,7830
2008/12/8,7975,8450,7970,8445
2008/12/9,8350,8505,8310,8480
2008/12/10,8360,8720,8360,8575
2008/12/11,8570,8725,8505,8635
2008/12/12,8420,8625,8070,8250
2008/12/15,8510,8710,8490,8585
2008/12/16,8590,8640,8470,8580
2008/12/17,8755,8795,8410,8590
2008/12/18,8550,8750,8520,8735
2008/12/19,8665,8785,8500,8525
2008/12/22,8575,8780,8570,8635
2008/12/24,8570,8630,8480,8565
2008/12/25,8545,8665,8535,8665
2008/12/26,8670,8775,8620,8740
2008/12/29,8720,8770,8640,8735
2008/12/30,8705,8910,8705,8875
2009/1/5,9215,9235,9015,9055
2009/1/6,9215,9215,9040,9190
2009/1/7,9165,9345,9100,9100
2009/1/8,9015,9070,8790,8855
2009/1/9,8930,8970,8780,8825
2009/1/13,8555,8555,8230,8265
2009/1/14,8390,8530,8230,8300
2009/1/15,8055,8160,7960,8035
2009/1/16,8160,8330,8055,8325
2009/1/19,8330,8345,8210,8265
2009/1/20,8145,8160,7945,8090
2009/1/21,7795,8010,7760,7835
2009/1/22,7975,8045,7800,7960
2009/1/23,7925,7930,7570,7570
2009/1/26,7685,7800,7550,7735
2009/1/27,7825,8140,7790,8035
2009/1/28,8035,8195,7925,8185
2009/1/29,8260,8310,8085,8115
2009/1/30,8035,8040,7915,7975
2009/2/2,7845,7960,7710,7735
2009/2/3,7840,8100,7740,7775
2009/2/4,7890,8090,7850,7990
2009/2/5,7950,8100,7890,7970
2009/2/6,8135,8175,8020,8125
2009/2/9,8260,8275,7905,8025
2009/2/10,8120,8140,7900,7990
2009/2/12,7805,7860,7630,7660
2009/2/13,7780,7885,7720,7840
2009/2/16,7710,7800,7680,7725
2009/2/17,7680,7705,7565,7610
2009/2/18,7480,7625,7460,7575
2009/2/19,7610,7635,7530,7615
2009/2/20,7560,7560,7285,7285
2009/2/23,7200,7470,7195,7440
2009/2/24,7180,7310,7145,7265
2009/2/25,7455,7520,7320,7510
2009/2/26,7460,7600,7420,7475
2009/2/27,7435,7590,7400,7520
2009/3/2,7320,7370,7195,7200
2009/3/3,7100,7290,7080,7190
2009/3/4,7120,7350,7095,7340
2009/3/5,7330,7540,7330,7355
2009/3/6,7215,7275,7120,7135
2009/3/9,7170,7230,6960,6965
2009/3/10,7065,7130,7015,7130
2009/3/11,7320,7470,7285,7450
2009/3/12,7355,7355,7070,7115
2009/3/13,7390,7625,7370,7615
2009/3/16,7570,7815,7570,7790
2009/3/17,7720,7915,7655,7815
2009/3/18,7935,7990,7825,7885
2009/3/19,7960,7970,7840,7885
2009/3/23,7900,8250,7870,8250
2009/3/24,8400,8460,8235,8350
2009/3/25,8460,8505,8335,8375
2009/3/26,8445,8715,8390,8705
2009/3/27,8700,8860,8550,8550
2009/3/30,8635,8660,8095,8190
2009/3/31,8210,8400,8060,8235
2009/4/1,8215,8405,8090,8375
2009/4/2,8535,8830,8460,8805
2009/4/3,8900,8905,8700,8850
2009/4/6,8940,9010,8825,8925
2009/4/7,8865,8910,8725,8735
2009/4/8,8730,8745,8565,8655
2009/4/9,8700,8950,8690,8900
2009/4/10,9075,9100,8860,8935
2009/4/13,8940,9040,8830,8855
2009/4/14,8995,8995,8750,8885
2009/4/15,8775,8840,8680,8825
2009/4/16,8880,9045,8710,8770
2009/4/17,8920,8975,8840,8965
2009/4/20,8900,8940,8820,8850
2009/4/21,8700,8790,8610,8735
2009/4/22,8785,8815,8685,8720
2009/4/23,8790,8880,8645,8880
2009/4/24,8840,8860,8690,8790
2009/4/27,8815,8850,8650,8710
2009/4/28,8680,8820,8475,8500
2009/4/30,8755,8990,8745,8975
2009/5/1,8870,9105,8825,9105
2009/5/7,9380,9450,9295,9435
2009/5/8,9385,9490,9350,9475
2009/5/11,9465,9510,9340,9375
2009/5/12,9340,9400,9305,9380
2009/5/13,9325,9390,9275,9315
2009/5/14,9135,9170,9050,9060
2009/5/15,9165,9275,9155,9200
2009/5/18,9095,9180,8995,9170
2009/5/19,9335,9415,9260,9395
2009/5/20,9380,9410,9310,9370
2009/5/21,9280,9320,9185,9250
2009/5/22,9115,9285,9110,9285
2009/5/25,9260,9410,9255,9315
2009/5/26,9360,9385,9230,9230
2009/5/27,9455,9500,9405,9460
2009/5/28,9360,9500,9350,9440
2009/5/29,9500,9540,9430,9540
2009/6/1,9510,9750,9490,9725
2009/6/2,9795,9810,9670,9715
2009/6/3,9725,9780,9690,9695
2009/6/4,9680,9750,9650,9740
2009/6/5,9775,9825,9720,9825
2009/6/8,9820,9920,9760,9765
2009/6/9,9820,9860,9755,9780
2009/6/10,9845,10070,9815,10055
2009/6/11,9995,10030,9960,10025
2009/6/12,10025,10180,10025,10110
2009/6/15,10115,10135,9970,9970
2009/6/16,9900,9920,9755,9815
2009/6/17,9720,9845,9715,9760
2009/6/18,9770,9780,9650,9690
2009/6/19,9765,9825,9700,9815
2009/6/22,9785,9895,9730,9735
2009/6/23,9635,9650,9510,9570
2009/6/24,9600,9630,9535,9615
2009/6/25,9640,9885,9620,9760
2009/6/26,9860,9945,9795,9900
2009/6/29,9880,9950,9755,9855
2009/6/30,9925,10005,9910,9925
2009/7/1,9870,10090,9860,9975
2009/7/2,9975,9990,9825,9845
2009/7/3,9730,9845,9685,9785
2009/7/6,9725,9780,9605,9605
2009/7/7,9715,9735,9605,9675
2009/7/8,9535,9555,9400,9415
2009/7/9,9350,9385,9270,9355
2009/7/10,9360,9375,9120,9135
2009/7/13,9240,9350,9020,9090
2009/7/14,9250,9295,9165,9290
